"STATE","STATE_ABB","PARTY","HOME","PARTIAL","REOPEN","COLOR","EXTENDED","SHELTER-IN-PLACE"
"Alabama","AL","Republican",2020-04-04,2020-04-30,NA,"Red","No","Yes"
"Alaska","AK","Republican",2020-03-28,2020-04-24,NA,"Red","No","Yes"
"Arizona","AZ","Republican",2020-03-31,2020-05-04,NA,"Red","No","Yes"
"Arkansas","AR","Republican",NA,NA,2020-05-01,"Red","No","Never Sheltered"
"California","CA","Democrat",2020-03-19,2020-05-08,NA,"Blue","Yes","Yes"
"Colorado","CO","Democrat",2020-03-26,2020-04-27,NA,"Blue","No","Yes"
"Connecticut","CT","Democrat",2020-03-23,2020-05-20,NA,"Blue","Yes","Yes"
"Delaware","DE","Democrat",2020-03-24,2020-05-08,NA,"Blue","Yes","Yes"
"D.C.","D.C.","Democrat",2020-04-01,2020-06-08,NA,"Blue","No","Yes"
"Florida","FL","Republican",2020-04-03,2020-05-04,NA,"Red","No","Yes"
"Georgia","GA","Republican",2020-04-03,NA,2020-04-30,"Red","No","Yes"
"Hawaii","HI","Democrat",2020-03-25,2020-04-30,NA,"Blue","No","Yes"
"Idaho","ID","Republican",2020-03-25,2020-05-01,NA,"Red","No","Yes"
"Illinois","IL","Democrat",2020-03-21,2020-05-01,NA,"Blue","No","Yes"
"Indiana","IN","Republican",2020-03-24,2020-05-04,NA,"Red","No","Yes"
"Iowa","IA","Republican",NA,NA,2020-05-01,"Red","No","Never Sheltered"
"Kansas","KS","Republican",2020-03-30,2020-05-04,NA,"Red","No","Yes"
"Kentucky","KY","Republican",2020-03-26,2020-05-11,NA,"Red","Yes","Yes"
"Louisiana","LA","Republican",2020-03-23,2020-05-01,NA,"Red","Yes","Yes"
"Maine","ME","Democrat",2020-04-02,2020-05-01,NA,"Blue","No","Yes"
"Maryland","MD","Democrat",2020-03-30,2020-05-07,NA,"Blue","Yes","Yes"
"Massachusetts","MA","Democrat",2020-03-24,NA,NA,"Blue","Yes","Yes"
"Michigan","MI","Republican",2020-03-24,2020-05-07,NA,"Red","Yes","Yes"
"Minnesota","MN","Democrat",2020-03-25,2020-05-04,NA,"Blue","Yes","Yes"
"Mississippi","MS","Republican",2020-04-03,2020-04-27,NA,"Red","No","Yes"
"Missouri","MO","Republican",2020-04-06,NA,2020-05-04,"Red","No","Yes"
"Montana","MT","Republican",2020-03-28,NA,2020-04-27,"Red","No","Yes"
"Nebraska","NE","Republican",NA,NA,2020-05-04,"Red","No","Never Sheltered"
"Nevada","NV","Democrat",2020-04-01,2020-05-15,NA,"Blue","No","Yes"
"New Hampshire","NH","Democrat",2020-03-27,2020-05-11,NA,"Blue","No","Yes"
"New Jersey","NJ","Democrat",2020-03-21,2020-05-02,NA,"Blue","Yes","Yes"
"New Mexico","NM","Democrat",2020-03-24,2020-05-01,NA,"Blue","Yes","Yes"
"New York","NY","Democrat",2020-03-22,2020-05-15,NA,"Blue","Yes","Yes"
"North Carolina","NC","Republican",2020-03-30,2020-05-08,NA,"Red","No","Yes"
"North Dakota","ND","Republican",NA,NA,2020-05-01,"Red","No","Never Sheltered"
"Ohio","OH","Republican",2020-03-23,2020-05-01,NA,"Red","No","Yes"
"Oklahoma","OK","Republican",NA,NA,2020-04-24,"Red","No","Never Sheltered"
"Oregon","OR","Democrat",2020-03-23,2020-05-15,NA,"Blue","No","Yes"
"Pennsylvania","PA","Republican",2020-04-01,2020-05-01,NA,"Red","No","Yes"
"Rhode Island","RI","Democrat",2020-03-28,2020-05-09,NA,"Blue","No","Yes"
"South Carolina","SC","Republican",2020-04-07,NA,2020-04-20,"Red","No","Yes"
"South Dakota","SD","Republican",NA,NA,2020-04-28,"Red","No","Never Sheltered"
"Tennessee","TN","Republican",2020-03-31,NA,2020-04-27,"Red","No","Yes"
"Texas","TX","Republican",2020-04-02,NA,2020-05-01,"Red","No","Yes"
"Utah","UT","Republican",NA,NA,2020-05-01,"Red","No","Never Sheltered"
"Vermont","VT","Democrat",2020-03-25,2020-05-15,NA,"Blue","Yes","Yes"
"Virginia","VA","Democrat",2020-03-25,2020-06-10,NA,"Blue","Yes","Yes"
"Washington","WA","Democrat",2020-03-23,2020-05-05,NA,"Blue","Yes","Yes"
"West Virginia","WV","Republican",2020-03-24,2020-04-30,NA,"Red","No","Yes"
"Wisconsin","WI","Republican",2020-03-25,2020-05-01,NA,"Red","No","Yes"
"Wyoming","WY","Republican",NA,NA,2020-05-01,"Red","No","Never Sheltered"
