"","date","state","diff"
"1",2020-01-23,"AK",0
"2",2020-01-24,"AK",0
"3",2020-01-25,"AK",0
"4",2020-01-26,"AK",0
"5",2020-01-27,"AK",0
"6",2020-01-28,"AK",0
"7",2020-01-29,"AK",0
"8",2020-01-30,"AK",0
"9",2020-01-31,"AK",0
"10",2020-02-01,"AK",0
"11",2020-02-02,"AK",0
"12",2020-02-03,"AK",0
"13",2020-02-04,"AK",0
"14",2020-02-05,"AK",0
"15",2020-02-06,"AK",0
"16",2020-02-07,"AK",0
"17",2020-02-08,"AK",0
"18",2020-02-09,"AK",0
"19",2020-02-10,"AK",0
"20",2020-02-11,"AK",0
"21",2020-02-12,"AK",0
"22",2020-02-13,"AK",0
"23",2020-02-14,"AK",0
"24",2020-02-15,"AK",0
"25",2020-02-16,"AK",0
"26",2020-02-17,"AK",0
"27",2020-02-18,"AK",0
"28",2020-02-19,"AK",0
"29",2020-02-20,"AK",0
"30",2020-02-21,"AK",0
"31",2020-02-22,"AK",0
"32",2020-02-23,"AK",0
"33",2020-02-24,"AK",0
"34",2020-02-25,"AK",0
"35",2020-02-26,"AK",0
"36",2020-02-27,"AK",0
"37",2020-02-28,"AK",0
"38",2020-02-29,"AK",0
"39",2020-03-01,"AK",0
"40",2020-03-02,"AK",0
"41",2020-03-03,"AK",0
"42",2020-03-04,"AK",0
"43",2020-03-05,"AK",0
"44",2020-03-06,"AK",0
"45",2020-03-07,"AK",0
"46",2020-03-08,"AK",0
"47",2020-03-09,"AK",0
"48",2020-03-10,"AK",0
"49",2020-03-11,"AK",0
"50",2020-03-12,"AK",0
"51",2020-03-13,"AK",1
"52",2020-03-14,"AK",0
"53",2020-03-15,"AK",0
"54",2020-03-16,"AK",0
"55",2020-03-17,"AK",2
"56",2020-03-18,"AK",2
"57",2020-03-19,"AK",3
"58",2020-03-20,"AK",3
"59",2020-03-21,"AK",2
"60",2020-03-22,"AK",5
"61",2020-03-23,"AK",12
"62",2020-03-24,"AK",4
"63",2020-03-25,"AK",7
"64",2020-03-26,"AK",15
"65",2020-03-27,"AK",2
"66",2020-03-28,"AK",27
"67",2020-03-29,"AK",17
"68",2020-03-30,"AK",12
"69",2020-03-31,"AK",5
"70",2020-04-01,"AK",13
"71",2020-04-02,"AK",11
"72",2020-04-03,"AK",14
"73",2020-04-04,"AK",14
"74",2020-04-05,"AK",14
"75",2020-04-06,"AK",5
"76",2020-04-07,"AK",23
"77",2020-04-08,"AK",13
"78",2020-04-09,"AK",9
"79",2020-04-10,"AK",11
"80",2020-04-11,"AK",11
"81",2020-04-12,"AK",15
"82",2020-04-13,"AK",5
"83",2020-04-14,"AK",8
"84",2020-04-15,"AK",8
"85",2020-04-16,"AK",7
"86",2020-04-17,"AK",9
"87",2020-04-18,"AK",5
"88",2020-04-19,"AK",5
"89",2020-04-20,"AK",2
"90",2020-04-21,"AK",8
"91",2020-04-22,"AK",6
"92",2020-04-23,"AK",2
"93",2020-04-24,"AK",2
"94",2020-04-25,"AK",0
"95",2020-04-26,"AK",1
"96",2020-04-27,"AK",5
"97",2020-04-28,"AK",6
"98",2020-04-29,"AK",4
"99",2020-04-30,"AK",0
"100",2020-05-01,"AK",9
"101",2020-05-02,"AK",1
"102",2020-05-03,"AK",3
"103",2020-05-04,"AK",2
"104",2020-05-05,"AK",1
"105",2020-05-06,"AK",1
"106",2020-05-07,"AK",2
"107",2020-05-08,"AK",3
"108",2020-05-09,"AK",1
"109",2020-05-10,"AK",1
"110",2020-01-23,"AL",0
"111",2020-01-24,"AL",0
"112",2020-01-25,"AL",0
"113",2020-01-26,"AL",0
"114",2020-01-27,"AL",0
"115",2020-01-28,"AL",0
"116",2020-01-29,"AL",0
"117",2020-01-30,"AL",0
"118",2020-01-31,"AL",0
"119",2020-02-01,"AL",0
"120",2020-02-02,"AL",0
"121",2020-02-03,"AL",0
"122",2020-02-04,"AL",0
"123",2020-02-05,"AL",0
"124",2020-02-06,"AL",0
"125",2020-02-07,"AL",0
"126",2020-02-08,"AL",0
"127",2020-02-09,"AL",0
"128",2020-02-10,"AL",0
"129",2020-02-11,"AL",0
"130",2020-02-12,"AL",0
"131",2020-02-13,"AL",0
"132",2020-02-14,"AL",0
"133",2020-02-15,"AL",0
"134",2020-02-16,"AL",0
"135",2020-02-17,"AL",0
"136",2020-02-18,"AL",0
"137",2020-02-19,"AL",0
"138",2020-02-20,"AL",0
"139",2020-02-21,"AL",0
"140",2020-02-22,"AL",0
"141",2020-02-23,"AL",0
"142",2020-02-24,"AL",0
"143",2020-02-25,"AL",0
"144",2020-02-26,"AL",0
"145",2020-02-27,"AL",0
"146",2020-02-28,"AL",0
"147",2020-02-29,"AL",0
"148",2020-03-01,"AL",0
"149",2020-03-02,"AL",0
"150",2020-03-03,"AL",0
"151",2020-03-04,"AL",0
"152",2020-03-05,"AL",0
"153",2020-03-06,"AL",0
"154",2020-03-07,"AL",0
"155",2020-03-08,"AL",0
"156",2020-03-09,"AL",0
"157",2020-03-10,"AL",0
"158",2020-03-11,"AL",0
"159",2020-03-12,"AL",0
"160",2020-03-13,"AL",5
"161",2020-03-14,"AL",2
"162",2020-03-15,"AL",4
"163",2020-03-16,"AL",18
"164",2020-03-17,"AL",10
"165",2020-03-18,"AL",12
"166",2020-03-19,"AL",27
"167",2020-03-20,"AL",28
"168",2020-03-21,"AL",25
"169",2020-03-22,"AL",26
"170",2020-03-23,"AL",39
"171",2020-03-24,"AL",46
"172",2020-03-25,"AL",139
"173",2020-03-26,"AL",136
"174",2020-03-27,"AL",70
"175",2020-03-28,"AL",107
"176",2020-03-29,"AL",131
"177",2020-03-30,"AL",74
"178",2020-03-31,"AL",88
"179",2020-04-01,"AL",73
"180",2020-04-02,"AL",173
"181",2020-04-03,"AL",262
"182",2020-04-04,"AL",119
"183",2020-04-05,"AL",151
"184",2020-04-06,"AL",187
"185",2020-04-07,"AL",217
"186",2020-04-08,"AL",159
"187",2020-04-09,"AL",375
"188",2020-04-10,"AL",244
"189",2020-04-11,"AL",270
"190",2020-04-12,"AL",346
"191",2020-04-13,"AL",171
"192",2020-04-14,"AL",219
"193",2020-04-15,"AL",122
"194",2020-04-16,"AL",270
"195",2020-04-17,"AL",226
"196",2020-04-18,"AL",141
"197",2020-04-19,"AL",176
"198",2020-04-20,"AL",191
"199",2020-04-21,"AL",238
"200",2020-04-22,"AL",276
"201",2020-04-23,"AL",239
"202",2020-04-24,"AL",194
"203",2020-04-25,"AL",0
"204",2020-04-26,"AL",395
"205",2020-04-27,"AL",118
"206",2020-04-28,"AL",211
"207",2020-04-29,"AL",162
"208",2020-04-30,"AL",176
"209",2020-05-01,"AL",206
"210",2020-05-02,"AL",317
"211",2020-05-03,"AL",277
"212",2020-05-04,"AL",224
"213",2020-05-05,"AL",325
"214",2020-05-06,"AL",254
"215",2020-05-07,"AL",355
"216",2020-05-08,"AL",339
"217",2020-05-09,"AL",283
"218",2020-05-10,"AL",221
"219",2020-01-23,"AR",0
"220",2020-01-24,"AR",0
"221",2020-01-25,"AR",0
"222",2020-01-26,"AR",0
"223",2020-01-27,"AR",0
"224",2020-01-28,"AR",0
"225",2020-01-29,"AR",0
"226",2020-01-30,"AR",0
"227",2020-01-31,"AR",0
"228",2020-02-01,"AR",0
"229",2020-02-02,"AR",0
"230",2020-02-03,"AR",0
"231",2020-02-04,"AR",0
"232",2020-02-05,"AR",0
"233",2020-02-06,"AR",0
"234",2020-02-07,"AR",0
"235",2020-02-08,"AR",0
"236",2020-02-09,"AR",0
"237",2020-02-10,"AR",0
"238",2020-02-11,"AR",0
"239",2020-02-12,"AR",0
"240",2020-02-13,"AR",0
"241",2020-02-14,"AR",0
"242",2020-02-15,"AR",0
"243",2020-02-16,"AR",0
"244",2020-02-17,"AR",0
"245",2020-02-18,"AR",0
"246",2020-02-19,"AR",0
"247",2020-02-20,"AR",0
"248",2020-02-21,"AR",0
"249",2020-02-22,"AR",0
"250",2020-02-23,"AR",0
"251",2020-02-24,"AR",0
"252",2020-02-25,"AR",0
"253",2020-02-26,"AR",0
"254",2020-02-27,"AR",0
"255",2020-02-28,"AR",0
"256",2020-02-29,"AR",0
"257",2020-03-01,"AR",0
"258",2020-03-02,"AR",0
"259",2020-03-03,"AR",0
"260",2020-03-04,"AR",0
"261",2020-03-05,"AR",0
"262",2020-03-06,"AR",0
"263",2020-03-07,"AR",0
"264",2020-03-08,"AR",0
"265",2020-03-09,"AR",0
"266",2020-03-10,"AR",0
"267",2020-03-11,"AR",0
"268",2020-03-12,"AR",0
"269",2020-03-13,"AR",9
"270",2020-03-14,"AR",3
"271",2020-03-15,"AR",-9
"272",2020-03-16,"AR",0
"273",2020-03-17,"AR",0
"274",2020-03-18,"AR",1
"275",2020-03-19,"AR",58
"276",2020-03-20,"AR",38
"277",2020-03-21,"AR",22
"278",2020-03-22,"AR",43
"279",2020-03-23,"AR",27
"280",2020-03-24,"AR",27
"281",2020-03-25,"AR",61
"282",2020-03-26,"AR",55
"283",2020-03-27,"AR",46
"284",2020-03-28,"AR",28
"285",2020-03-29,"AR",17
"286",2020-03-30,"AR",47
"287",2020-03-31,"AR",50
"288",2020-04-01,"AR",61
"289",2020-04-02,"AR",59
"290",2020-04-03,"AR",61
"291",2020-04-04,"AR",39
"292",2020-04-05,"AR",94
"293",2020-04-06,"AR",38
"294",2020-04-07,"AR",71
"295",2020-04-08,"AR",54
"296",2020-04-09,"AR",119
"297",2020-04-10,"AR",52
"298",2020-04-11,"AR",57
"299",2020-04-12,"AR",52
"300",2020-04-13,"AR",130
"301",2020-04-14,"AR",88
"302",2020-04-15,"AR",71
"303",2020-04-16,"AR",51
"304",2020-04-17,"AR",75
"305",2020-04-18,"AR",49
"306",2020-04-19,"AR",37
"307",2020-04-20,"AR",192
"308",2020-04-21,"AR",17
"309",2020-04-22,"AR",286
"310",2020-04-23,"AR",323
"311",2020-04-24,"AR",211
"312",2020-04-25,"AR",101
"313",2020-04-26,"AR",90
"314",2020-04-27,"AR",68
"315",2020-04-28,"AR",58
"316",2020-04-29,"AR",66
"317",2020-04-30,"AR",88
"318",2020-05-01,"AR",56
"319",2020-05-02,"AR",35
"320",2020-05-03,"AR",65
"321",2020-05-04,"AR",54
"322",2020-05-05,"AR",34
"323",2020-05-06,"AR",86
"324",2020-05-07,"AR",92
"325",2020-05-08,"AR",44
"326",2020-05-09,"AR",0
"327",2020-05-10,"AR",265
"328",2020-01-23,"AZ",0
"329",2020-01-24,"AZ",0
"330",2020-01-25,"AZ",0
"331",2020-01-26,"AZ",1
"332",2020-01-27,"AZ",0
"333",2020-01-28,"AZ",0
"334",2020-01-29,"AZ",0
"335",2020-01-30,"AZ",0
"336",2020-01-31,"AZ",0
"337",2020-02-01,"AZ",0
"338",2020-02-02,"AZ",0
"339",2020-02-03,"AZ",0
"340",2020-02-04,"AZ",0
"341",2020-02-05,"AZ",0
"342",2020-02-06,"AZ",0
"343",2020-02-07,"AZ",0
"344",2020-02-08,"AZ",0
"345",2020-02-09,"AZ",0
"346",2020-02-10,"AZ",0
"347",2020-02-11,"AZ",0
"348",2020-02-12,"AZ",0
"349",2020-02-13,"AZ",0
"350",2020-02-14,"AZ",0
"351",2020-02-15,"AZ",0
"352",2020-02-16,"AZ",0
"353",2020-02-17,"AZ",0
"354",2020-02-18,"AZ",0
"355",2020-02-19,"AZ",0
"356",2020-02-20,"AZ",0
"357",2020-02-21,"AZ",0
"358",2020-02-22,"AZ",0
"359",2020-02-23,"AZ",0
"360",2020-02-24,"AZ",0
"361",2020-02-25,"AZ",0
"362",2020-02-26,"AZ",0
"363",2020-02-27,"AZ",0
"364",2020-02-28,"AZ",0
"365",2020-02-29,"AZ",0
"366",2020-03-01,"AZ",0
"367",2020-03-02,"AZ",0
"368",2020-03-03,"AZ",0
"369",2020-03-04,"AZ",0
"370",2020-03-05,"AZ",0
"371",2020-03-06,"AZ",1
"372",2020-03-07,"AZ",2
"373",2020-03-08,"AZ",0
"374",2020-03-09,"AZ",0
"375",2020-03-10,"AZ",2
"376",2020-03-11,"AZ",3
"377",2020-03-12,"AZ",0
"378",2020-03-13,"AZ",0
"379",2020-03-14,"AZ",3
"380",2020-03-15,"AZ",0
"381",2020-03-16,"AZ",6
"382",2020-03-17,"AZ",2
"383",2020-03-18,"AZ",7
"384",2020-03-19,"AZ",18
"385",2020-03-20,"AZ",23
"386",2020-03-21,"AZ",36
"387",2020-03-22,"AZ",48
"388",2020-03-23,"AZ",83
"389",2020-03-24,"AZ",91
"390",2020-03-25,"AZ",75
"391",2020-03-26,"AZ",107
"392",2020-03-27,"AZ",157
"393",2020-03-28,"AZ",108
"394",2020-03-29,"AZ",146
"395",2020-03-30,"AZ",238
"396",2020-03-31,"AZ",132
"397",2020-04-01,"AZ",124
"398",2020-04-02,"AZ",183
"399",2020-04-03,"AZ",173
"400",2020-04-04,"AZ",250
"401",2020-04-05,"AZ",250
"402",2020-04-06,"AZ",191
"403",2020-04-07,"AZ",115
"404",2020-04-08,"AZ",151
"405",2020-04-09,"AZ",292
"406",2020-04-10,"AZ",94
"407",2020-04-11,"AZ",281
"408",2020-04-12,"AZ",149
"409",2020-04-13,"AZ",163
"410",2020-04-14,"AZ",104
"411",2020-04-15,"AZ",155
"412",2020-04-16,"AZ",273
"413",2020-04-17,"AZ",274
"414",2020-04-18,"AZ",213
"415",2020-04-19,"AZ",209
"416",2020-04-20,"AZ",135
"417",2020-04-21,"AZ",188
"418",2020-04-22,"AZ",217
"419",2020-04-23,"AZ",299
"420",2020-04-24,"AZ",273
"421",2020-04-25,"AZ",241
"422",2020-04-26,"AZ",248
"423",2020-04-27,"AZ",191
"424",2020-04-28,"AZ",230
"425",2020-04-29,"AZ",254
"426",2020-04-30,"AZ",446
"427",2020-05-01,"AZ",314
"428",2020-05-02,"AZ",395
"429",2020-05-03,"AZ",276
"430",2020-05-04,"AZ",284
"431",2020-05-05,"AZ",381
"432",2020-05-06,"AZ",402
"433",2020-05-07,"AZ",238
"434",2020-05-08,"AZ",581
"435",2020-05-09,"AZ",434
"436",2020-05-10,"AZ",159
"437",2020-01-23,"CA",0
"438",2020-01-24,"CA",0
"439",2020-01-25,"CA",0
"440",2020-01-26,"CA",2
"441",2020-01-27,"CA",0
"442",2020-01-28,"CA",0
"443",2020-01-29,"CA",0
"444",2020-01-30,"CA",0
"445",2020-01-31,"CA",1
"446",2020-02-01,"CA",0
"447",2020-02-02,"CA",0
"448",2020-02-03,"CA",3
"449",2020-02-04,"CA",0
"450",2020-02-05,"CA",0
"451",2020-02-06,"CA",0
"452",2020-02-07,"CA",0
"453",2020-02-08,"CA",0
"454",2020-02-09,"CA",0
"455",2020-02-10,"CA",0
"456",2020-02-11,"CA",1
"457",2020-02-12,"CA",0
"458",2020-02-13,"CA",1
"459",2020-02-14,"CA",0
"460",2020-02-15,"CA",0
"461",2020-02-16,"CA",0
"462",2020-02-17,"CA",0
"463",2020-02-18,"CA",0
"464",2020-02-19,"CA",0
"465",2020-02-20,"CA",0
"466",2020-02-21,"CA",2
"467",2020-02-22,"CA",0
"468",2020-02-23,"CA",0
"469",2020-02-24,"CA",0
"470",2020-02-25,"CA",0
"471",2020-02-26,"CA",0
"472",2020-02-27,"CA",1
"473",2020-02-28,"CA",0
"474",2020-02-29,"CA",1
"475",2020-03-01,"CA",0
"476",2020-03-02,"CA",9
"477",2020-03-03,"CA",4
"478",2020-03-04,"CA",10
"479",2020-03-05,"CA",16
"480",2020-03-06,"CA",8
"481",2020-03-07,"CA",22
"482",2020-03-08,"CA",14
"483",2020-03-09,"CA",6
"484",2020-03-10,"CA",43
"485",2020-03-11,"CA",34
"486",2020-03-12,"CA",43
"487",2020-03-13,"CA",60
"488",2020-03-14,"CA",91
"489",2020-03-15,"CA",1
"490",2020-03-16,"CA",184
"491",2020-03-17,"CA",143
"492",2020-03-18,"CA",128
"493",2020-03-19,"CA",177
"494",2020-03-20,"CA",238
"495",2020-03-21,"CA",162
"496",2020-03-22,"CA",241
"497",2020-03-23,"CA",462
"498",2020-03-24,"CA",430
"499",2020-03-25,"CA",460
"500",2020-03-26,"CA",901
"501",2020-03-27,"CA",758
"502",2020-03-28,"CA",438
"503",2020-03-29,"CA",757
"504",2020-03-30,"CA",1286
"505",2020-03-31,"CA",1072
"506",2020-04-01,"CA",1189
"507",2020-04-02,"CA",1374
"508",2020-04-03,"CA",1231
"509",2020-04-04,"CA",833
"510",2020-04-05,"CA",2197
"511",2020-04-06,"CA",985
"512",2020-04-07,"CA",1332
"513",2020-04-08,"CA",1546
"514",2020-04-09,"CA",813
"515",2020-04-10,"CA",1371
"516",2020-04-11,"CA",625
"517",2020-04-12,"CA",1089
"518",2020-04-13,"CA",1136
"519",2020-04-14,"CA",1425
"520",2020-04-15,"CA",1330
